an,ap,ar,as,br,ch,ct,date,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,un,up,ut,wb
0,0,0,0,0,0,0,14-Mar-20,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,Recovered,0,0,0,9,0,4,0,0
0,0,0,0,0,0,0,15-Mar-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,Recovered,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,16-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,17-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,18-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,19-Mar-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,4,0,0
0,0,0,0,0,0,0,20-Mar-20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,21-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,22-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23-Mar-20,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,24-Mar-20,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,2,0,0
0,1,0,0,0,0,0,25-Mar-20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,26-Mar-20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,27-Mar-20,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,6,0,0,0,1,0,0,0,Recovered,0,1,0,26,0,0,0,0
0,0,0,0,0,0,0,28-Mar-20,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,9,0,0,1,0
0,0,0,0,0,0,0,29-Mar-20,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,30-Mar-20,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,6,0,0,0,0,0,0,0,Recovered,13,2,0,49,0,6,1,0
0,0,0,0,0,0,2,31-Mar-20,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,Recovered,0,2,0,15,0,0,0,3
0,1,0,0,0,0,0,01-Apr-20,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,6,0,0,1,0,0,0,0,Recovered,0,0,0,16,0,0,0,0
0,0,0,0,3,0,1,02-Apr-20,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,6,0,0,0,0,0,0,0,Recovered,3,0,0,22,0,0,0,0
0,0,0,0,0,0,0,03-Apr-20,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,6,0,0,1,0,0,0,0,Recovered,15,0,0,38,0,0,0,0
0,0,0,0,0,3,0,04-Apr-20,0,8,0,0,3,0,1,0,0,0,8,0,0,2,0,0,6,0,0,0,2,0,22,0,Recovered,1,2,0,56,0,4,0,0
0,3,0,0,0,2,5,05-Apr-20,0,0,0,0,8,0,0,0,1,1,6,0,0,4,0,0,6,0,0,0,1,0,0,0,Recovered,0,0,0,43,0,0,2,7
0,0,0,0,6,0,0,06-Apr-20,0,0,0,0,1,0,0,0,0,8,3,7,0,14,0,1,6,0,0,0,0,0,0,0,Recovered,12,5,0,65,0,0,0,0
0,0,0,0,6,2,1,07-Apr-20,0,4,0,0,3,1,2,0,0,5,12,0,0,9,0,0,6,0,0,0,10,1,0,0,Recovered,0,6,0,75,0,0,0,3
0,1,0,0,0,0,0,08-Apr-20,0,1,0,0,0,0,1,0,2,3,13,0,0,38,0,0,6,0,0,0,0,0,20,0,Recovered,0,2,0,96,0,10,1,0
10,4,0,0,0,0,0,09-Apr-20,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,6,0,0,0,4,0,15,0,Recovered,0,6,0,70,0,0,0,3
0,0,0,0,0,0,0,10-Apr-20,0,2,0,1,7,0,4,0,0,4,27,1,0,63,0,0,6,0,0,10,2,0,0,0,Recovered,0,17,0,151,0,1,0,0
