date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-01-30,1,0,1,0,0,India,IN
2020-01-31,0,0,1,0,0,India,IN
2020-02-01,0,0,1,0,0,India,IN
2020-02-02,1,0,2,0,0,India,IN
2020-02-03,1,0,3,0,0,India,IN
2020-02-04,0,0,3,0,0,India,IN
2020-02-05,0,0,3,0,0,India,IN
2020-02-06,0,0,3,0,0,India,IN
2020-02-07,0,0,3,0,0,India,IN
2020-02-08,0,0,3,0,0,India,IN
2020-02-09,0,0,3,0,0,India,IN
2020-02-10,0,0,3,0,0,India,IN
2020-02-11,0,0,3,0,0,India,IN
2020-02-12,0,0,3,0,0,India,IN
2020-02-13,0,0,3,0,0,India,IN
2020-02-14,0,0,3,0,0,India,IN
2020-02-15,0,0,3,0,0,India,IN
2020-02-16,0,0,3,3,0,India,IN
2020-02-17,0,0,3,3,0,India,IN
2020-02-18,0,0,3,3,0,India,IN
2020-02-19,0,0,3,3,0,India,IN
2020-02-20,0,0,3,3,0,India,IN
2020-02-21,0,0,3,3,0,India,IN
2020-02-22,0,0,3,3,0,India,IN
2020-02-23,0,0,3,3,0,India,IN
2020-02-24,0,0,3,3,0,India,IN
2020-02-25,0,0,3,3,0,India,IN
2020-02-26,0,0,3,3,0,India,IN
2020-02-27,0,0,3,3,0,India,IN
2020-02-28,0,0,3,3,0,India,IN
2020-02-29,0,0,3,3,0,India,IN
2020-03-01,0,0,3,3,0,India,IN
2020-03-02,2,0,5,3,0,India,IN
2020-03-03,0,0,5,3,0,India,IN
2020-03-04,23,0,28,3,0,India,IN
2020-03-05,2,0,30,3,0,India,IN
2020-03-06,1,0,31,3,0,India,IN
2020-03-07,3,0,34,3,0,India,IN
2020-03-08,5,0,39,3,0,India,IN
2020-03-09,4,0,43,3,0,India,IN
2020-03-10,13,0,56,4,0,India,IN
2020-03-11,6,1,62,4,1,India,IN
2020-03-12,11,0,73,4,1,India,IN
2020-03-13,9,1,82,4,2,India,IN
2020-03-14,20,0,102,4,2,India,IN
2020-03-15,11,0,113,13,2,India,IN
2020-03-16,6,0,119,13,2,India,IN
