date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-05-23,0,0,111698,1,3244,Peru,PE
2020-05-24,8261,212,119959,1,3456,Peru,PE
2020-05-25,0,0,119959,1,3456,Peru,PE
2020-05-26,9792,332,129751,1,3788,Peru,PE
2020-05-27,6154,195,135905,1,3983,Peru,PE
2020-05-28,0,0,135905,1,3983,Peru,PE
2020-05-29,0,0,135905,1,3983,Peru,PE
2020-05-30,0,0,135905,1,3983,Peru,PE
2020-05-31,0,0,135905,1,3983,Peru,PE
2020-06-01,0,0,135905,1,3983,Peru,PE
2020-06-02,0,0,135905,1,3983,Peru,PE
2020-06-03,43009,911,178914,0,4894,Peru,PE
2020-06-04,4284,137,183198,0,5031,Peru,PE
2020-06-05,4202,131,187400,0,5162,Peru,PE
2020-06-06,4358,139,191758,0,5301,Peru,PE
2020-06-07,4757,164,196515,0,5465,Peru,PE
2020-06-08,3181,106,199696,0,5571,Peru,PE
2020-06-09,0,0,199696,0,5571,Peru,PE
2020-06-10,8098,291,207794,0,5862,Peru,PE
2020-06-11,6994,226,214788,0,6088,Peru,PE
2020-06-12,0,0,214788,0,6088,Peru,PE
2020-06-13,5961,220,220749,0,6308,Peru,PE
2020-06-14,8987,380,229736,0,6688,Peru,PE
2020-06-15,0,0,229736,0,6688,Peru,PE
2020-06-16,7420,368,237156,0,7056,Peru,PE
2020-06-17,3752,201,240908,0,7257,Peru,PE
2020-06-18,0,0,240908,0,7257,Peru,PE
2020-06-19,3480,204,244388,0,7461,Peru,PE
2020-06-20,3537,199,247925,0,7660,Peru,PE
2020-06-21,3413,201,251338,0,7861,Peru,PE
2020-06-22,6109,362,257447,0,8223,Peru,PE
2020-06-23,3363,181,260810,0,8404,Peru,PE
2020-06-24,3879,182,264689,0,8586,Peru,PE
2020-06-25,3913,175,268602,0,8761,Peru,PE
2020-06-26,3762,178,272364,0,8939,Peru,PE
2020-06-27,3625,196,275989,0,9135,Peru,PE
2020-06-28,3430,182,279419,0,9317,Peru,PE
2020-06-29,2946,187,282365,0,9504,Peru,PE
2020-06-30,2848,173,285213,0,9677,Peru,PE
2020-07-01,3264,183,288477,0,9860,Peru,PE
2020-07-02,3527,185,292004,0,10045,Peru,PE
2020-07-03,3595,181,295599,0,10226,Peru,PE
2020-07-04,3481,186,299080,0,10412,Peru,PE
2020-07-05,3638,177,302718,0,10589,Peru,PE
2020-07-06,2985,183,305703,0,10772,Peru,PE
2020-07-07,3575,180,309278,200938,10952,Peru,PE
2020-07-08,3633,181,312911,200938,11133,Peru,PE
2020-07-09,3537,181,316448,200938,11314,Peru,PE
2020-07-10,3198,186,319646,200938,11500,Peru,PE
2020-07-11,3064,182,322710,200938,11682,Peru,PE
2020-07-12,3616,188,326326,200938,11870,Peru,PE
2020-07-13,3797,184,330123,200938,12054,Peru,PE
2020-07-14,3744,175,333867,200938,12229,Peru,PE
2020-07-15,3884,188,337751,200938,12417,Peru,PE
2020-07-16,3835,198,341586,200938,12615,Peru,PE
2020-07-17,0,0,341586,200938,12615,Peru,PE
2020-07-18,7914,383,349500,200938,12998,Peru,PE
2020-07-19,4090,189,353590,200938,13187,Peru,PE
2020-07-20,0,0,353590,200938,13187,Peru,PE
2020-07-21,8497,392,362087,200938,13579,Peru,PE
2020-07-22,4463,188,366550,200938,13767,Peru,PE
2020-07-23,4546,3887,371096,200938,17654,Peru,PE
2020-07-24,4865,189,375961,200938,17843,Peru,PE
2020-07-25,0,0,375961,200938,17843,Peru,PE
2020-07-26,0,0,375961,200938,17843,Peru,PE
2020-07-27,0,0,375961,200938,17843,Peru,PE
2020-07-28,13756,575,389717,200938,18418,Peru,PE
2020-07-29,5288,194,395005,200938,18612,Peru,PE
2020-07-30,5678,204,400683,200938,18816,Peru,PE
2020-07-31,0,0,400683,200938,18816,Peru,PE
2020-08-01,6809,205,407492,200938,19021,Peru,PE
2020-08-02,14691,387,422183,200938,19408,Peru,PE
2020-08-03,6667,206,428850,200938,19614,Peru,PE
2020-08-04,4250,197,433100,200938,19811,Peru,PE
2020-08-05,6790,196,439890,200938,20007,Peru,PE
2020-08-06,7734,221,447624,200938,20228,Peru,PE
2020-08-07,7785,196,455409,200938,20424,Peru,PE
2020-08-08,8466,225,463875,200938,20649,Peru,PE
2020-08-09,7137,195,471012,200938,20844,Peru,PE
2020-08-10,7012,228,478024,200938,21072,Peru,PE
2020-08-11,5109,204,483133,200938,21276,Peru,PE
2020-08-12,6547,225,489680,200938,21501,Peru,PE
2020-08-13,8875,212,498555,200938,21713,Peru,PE
2020-08-14,9441,3935,507996,200938,25648,Peru,PE
2020-08-15,8300,208,516296,200938,25856,Peru,PE
2020-08-16,9507,219,525803,200938,26075,Peru,PE
2020-08-17,10143,206,535946,200938,26281,Peru,PE
2020-08-18,5547,200,541493,200938,26481,Peru,PE
2020-08-19,7828,177,549321,200938,26658,Peru,PE
2020-08-20,9099,176,558420,200938,26834,Peru,PE
2020-08-21,8639,200,567059,200938,27034,Peru,PE
2020-08-22,9008,211,576067,200938,27245,Peru,PE
2020-08-23,9169,208,585236,200938,27453,Peru,PE
2020-08-24,9090,210,594326,200938,27663,Peru,PE
2020-08-25,6112,150,600438,200938,27813,Peru,PE
2020-08-26,6944,188,607382,200938,28001,Peru,PE
2020-08-27,5996,123,613378,200938,28124,Peru,PE
2020-08-28,8619,153,621997,200938,28277,Peru,PE
2020-08-29,7964,194,629961,200938,28471,Peru,PE
2020-08-30,9474,136,639435,200938,28607,Peru,PE
2020-08-31,7731,181,647166,200938,28788,Peru,PE
2020-09-01,4871,156,652037,200938,28944,Peru,PE
2020-09-02,5092,124,657129,200938,29068,Peru,PE
2020-09-03,0,0,657129,200938,29068,Peru,PE
2020-09-04,13016,337,670145,200938,29405,Peru,PE
2020-09-05,6703,149,676848,200938,29554,Peru,PE
2020-09-06,6854,133,683702,200938,29687,Peru,PE
2020-09-07,6275,151,689977,200938,29838,Peru,PE
2020-09-08,1598,138,691575,200938,29976,Peru,PE
2020-09-09,4615,147,696190,200938,30123,Peru,PE
2020-09-10,6586,113,702776,200938,30236,Peru,PE
2020-09-11,7291,108,710067,200938,30344,Peru,PE
