date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-02-26,1,0,1,0,0,Brazil,BR
2020-02-27,0,0,1,0,0,Brazil,BR
2020-02-28,0,0,1,0,0,Brazil,BR
2020-02-29,1,0,2,0,0,Brazil,BR
2020-03-01,0,0,2,0,0,Brazil,BR
2020-03-02,0,0,2,0,0,Brazil,BR
2020-03-03,0,0,2,0,0,Brazil,BR
2020-03-04,2,0,4,0,0,Brazil,BR
2020-03-05,0,0,4,0,0,Brazil,BR
2020-03-06,9,0,13,0,0,Brazil,BR
2020-03-07,0,0,13,0,0,Brazil,BR
2020-03-08,7,0,20,0,0,Brazil,BR
2020-03-09,5,0,25,0,0,Brazil,BR
2020-03-10,6,0,31,0,0,Brazil,BR
2020-03-11,7,0,38,0,0,Brazil,BR
2020-03-12,14,0,52,0,0,Brazil,BR
2020-03-13,99,0,151,0,0,Brazil,BR
2020-03-14,0,0,151,0,0,Brazil,BR
2020-03-15,11,0,162,0,0,Brazil,BR
2020-03-16,38,0,200,1,0,Brazil,BR
2020-03-17,121,1,321,2,1,Brazil,BR
2020-03-18,51,2,372,2,3,Brazil,BR
2020-03-19,249,3,621,2,6,Brazil,BR
2020-03-20,172,5,793,2,11,Brazil,BR
2020-03-21,228,4,1021,2,15,Brazil,BR
2020-03-22,525,10,1546,2,25,Brazil,BR
2020-03-23,378,9,1924,2,34,Brazil,BR
2020-03-24,323,12,2247,2,46,Brazil,BR
2020-03-25,307,13,2554,2,59,Brazil,BR
2020-03-26,431,18,2985,6,77,Brazil,BR
2020-03-27,432,15,3417,6,92,Brazil,BR
2020-03-28,487,19,3904,6,111,Brazil,BR
2020-03-29,352,25,4256,6,136,Brazil,BR
2020-03-30,323,23,4579,120,159,Brazil,BR
2020-03-31,1138,42,5717,127,201,Brazil,BR
2020-04-01,1119,39,6836,127,240,Brazil,BR
2020-04-02,1230,87,8066,2,327,Brazil,BR
2020-04-03,990,32,9056,2,359,Brazil,BR
2020-04-04,1222,72,10278,2,431,Brazil,BR
2020-04-05,852,55,11130,2,486,Brazil,BR
2020-04-06,1031,78,12161,2,564,Brazil,BR
2020-04-07,1873,122,14034,2,686,Brazil,BR
2020-04-08,2136,133,16170,2,819,Brazil,BR
2020-04-09,1922,131,18092,2,950,Brazil,BR
2020-04-10,1546,107,19638,2,1057,Brazil,BR
2020-04-11,1089,67,20727,2,1124,Brazil,BR
2020-04-12,1465,99,22192,2,1223,Brazil,BR
2020-04-13,1238,105,23430,2,1328,Brazil,BR
2020-04-14,1490,161,24920,2,1489,Brazil,BR
2020-04-15,3400,247,28320,2,1736,Brazil,BR
2020-04-16,2105,188,30425,2,1924,Brazil,BR
2020-04-17,3257,217,33682,2,2141,Brazil,BR
2020-04-18,2976,213,36658,2,2354,Brazil,BR
2020-04-19,1996,108,38654,2,2462,Brazil,BR
2020-04-20,1927,113,40581,2,2575,Brazil,BR
2020-04-21,2498,166,43079,2,2741,Brazil,BR
2020-04-22,2678,165,45757,2,2906,Brazil,BR
2020-04-23,3735,407,49492,2,3313,Brazil,BR
2020-04-24,3503,357,52995,2,3670,Brazil,BR
2020-04-25,5621,346,58616,2,4016,Brazil,BR
2020-04-26,3272,189,61888,2,4205,Brazil,BR
2020-04-27,4613,338,66501,2,4543,Brazil,BR
